ID	GENE_SYMBOL
1732	TMEM56
1733	SPG20
1734	CDH1
1735	C1orf9
1737	F8A1
1738	CCHCR1
1739	LPCAT3
1740	GOLGA8E
1741	LOC286109
1743	PTDSS1
1745	HEXIM2
1747	CHST14
1748	XLOC_008506
1749	XLOC_011535
1750	LOC645485
1751	F7
1752	DUS4L
1753	EIF3J
1754	C11orf46
1756	CXCR1
1757	AGMAT
1758	GSK3B
1759	GCFC1
1760	XLOC_006726
1761	LINC00442
1762	HCG18
1763	NDUFB11
1764	XLOC_l2_008560
1765	ORMDL1
1767	HERC2P7
1768	GPSM1
1769	RTN4IP1
1770	FAM53B
1771	CSNK2A1
1772	HECA
1773	ZNF518B
1774	PHGDH
